124,1,900896,SKI-TK. MILIK ***,JL. STASION BARAT (HOOK) - SMI,KAB. SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
125,1,900898,SKI-TK. ANEKA TANI,"JL. BAREKBEK NO.36 SAGARANTEN,",SUKABUMI,43181,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
126,1,900901,SKI-TK. UJANG,JL. CITARIK NO. 6 TONJONG PELA,KAB. SUKABUMI,43364,SKI-Z2CP01,"CIKEMBAR,CIKEMBANG,CIB",201
127,1,900903,SKI-TK. RUSTANDI,JL. CIUJUNG RT.1/1 PS JYGR CJR,CIANJUR,43211,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
128,1,900909,SKI-TK. GUNUNG KAWI ***,JL. PASAR NO.45 SUKABUMI,KAB. SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
129,1,900911,SKI-TK. SINAR MAS,JL. KAPT HARUN KABIR 7 SKBM,SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
130,1,900914,SKI-TK. SIN-SIN ***,JL. PASAR BARU RUKO NO.27 CIAN,CIANJUR,43211,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",203
131,1,900915,SKI-TK. BRATA WIJAYA,"JL. RY. UJUNG GENTENG SURADE,",SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
132,1,900916,SKI-TK. AYU,"JL.WALURAN NO.10 CIEMAS SMI, S",KAB. SUKABUMI,43177,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",203
133,1,900918,SKI-TK. AHU,JL. RE. MARTADINATA 20 SUKABUM,SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
134,1,900919,SKI-TK. WIJAYA PERKASA,"JL. RY. UJUNG GENTENG SURADE,",SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
135,1,900920,SKI-TK. AEP,"JL. RY. UJUNG GENTENG SURADE,",SUKABUMI,43179,SKI-Z3CP02,"CIANJUR SELATAN, SAGAR",210
136,1,900921,SKI-TK. SURYAJAYA,JL. PEJAGALAN NO. 1 SUKABUMI,KAB. SUKABUMI,43151,SKI-Z1CP01,SUKABUMI KOTA,200
137,1,900923,SKI-TK. SARI MUTIARA,"JL. KEBON KOPI CIANJUR, CIANJU",CIANJUR,43275,SKI-Z3CP01,"WARUNG KIARA,CITARIK,",206
